ProductId,Year,Month,Units,Avg,Max,Min,Count,UnitPrice,Lag1,Lag3,Lag12,RollingMean3,RollingMean6,Next
9,2011,1,613,36.058823,127,2,17,1.0838726,411,0,0,512,512,272
9,2011,2,272,27.2,200,1,10,1.6723334,613,0,0,432,432,118
9,2011,3,118,13.111111,60,1,9,1.2922223,272,411,0,334.33334,353.5,30
9,2011,4,30,7.5,14,3,4,1.25,118,613,0,140,288.8,13
9,2011,5,13,4.3333335,6,2,3,1.6533333,30,272,0,53.666668,242.83333,55
9,2011,6,55,6.875,20,1,8,1.25,13,118,0,32.666668,183.5,177
9,2011,7,177,19.666666,100,1,9,1.25,55,30,0,81.666664,110.833336,152
9,2011,8,152,38,100,2,4,1.2025,177,13,0,128,90.833336,70
9,2011,9,70,7.7777777,20,1,9,1.7205555,152,55,0,133,82.833336,70
9,2011,10,70,7,21,1,10,1.7945,70,177,0,97.333336,89.5,181
9,2011,11,181,11.3125,36,1,16,1.6445312,70,152,0,107,117.5,69
10,2011,1,33,16.5,32,1,2,2.525,74,0,0,53.5,53.5,26
10,2011,2,26,13,16,10,2,2.49,33,0,0,44.333332,44.333332,52
10,2011,3,52,10.4,32,1,5,2.33,26,74,0,37,46.25,36
10,2011,4,36,9,16,1,4,1.69,52,33,0,38,44.2,96
10,2011,5,96,24,32,16,4,1.69,36,26,0,61.333332,52.833332,201
10,2011,6,201,22.333334,87,1,9,1.4988889,96,52,0,111,74,236
10,2011,7,236,15.733334,33,2,15,1.0593333,201,36,0,177.66667,107.833336,499
10,2011,8,499,83.166664,384,1,6,1.8166667,236,96,0,312,186.66667,96
10,2011,9,96,12,32,1,8,1.89,499,201,0,277,194,116
10,2011,10,116,11.6,48,1,10,2.49,96,236,0,237,207.33333,128
10,2011,11,128,11.636364,32,2,11,2.3445454,116,499,0,113.333336,212.66667,22
12,2011,1,177,29.5,168,1,6,0.7216667,45,0,0,111,111,80
12,2011,2,80,20,48,2,4,0.485,177,0,0,100.666664,100.666664,123
12,2011,3,123,24.6,48,3,5,0.278,80,45,0,126.666664,106.25,541
12,2011,4,541,77.28571,240,12,7,0.17928572,123,177,0,248,193.2,827
12,2011,5,827,75.181816,305,12,11,0.23409091,541,80,0,497,298.83334,1621
12,2011,6,1621,162.1,1248,1,10,0.1985,827,123,0,996.3333,561.5,212
12,2011,7,212,26.5,96,1,8,0.3125,1621,541,0,886.6667,567.3333,205
12,2011,8,205,22.777779,50,7,9,0.44666666,212,827,0,679.3333,588.1667,394
12,2011,9,394,32.833332,168,3,12,0.22625,205,1621,0,270.33334,633.3333,1791
12,2011,10,1791,223.875,1200,1,8,0.346875,394,212,0,796.6667,841.6667,573
12,2011,11,573,35.8125,312,1,16,0.4275,1791,205,0,919.3333,799.3333,2
13,2011,1,977,61.0625,649,1,16,1.0111042,161,0,0,569,569,2260
13,2011,2,2260,125.55556,1212,1,18,1.0290741,977,0,0,1132.6666,1132.6666,3104
13,2011,3,3104,163.36842,1212,1,19,1.0835439,2260,161,0,2113.6667,1625.5,1966
13,2011,4,1966,115.64706,684,1,17,0.9447941,3104,977,0,2443.3333,1693.6,4684
13,2011,5,4684,195.16667,939,12,24,0.9761111,1966,2260,0,3251.3333,2192,3346
13,2011,6,3346,133.84,1026,1,25,1.0802114,4684,3104,0,3332,2722.8333,3486
13,2011,7,3486,174.3,1846,3,20,1.0743333,3346,1966,0,3838.6667,3141,1427
13,2011,8,1427,75.10526,745,3,19,1.0320615,3486,4684,0,2753,3002.1667,487
13,2011,9,487,30.4375,126,2,16,1.0772916,1427,3346,0,1800,2566,1255
13,2011,10,1255,66.052635,601,4,19,1.0937719,487,3486,0,1056.3334,2447.5,604
13,2011,11,604,28.761906,113,1,21,1.2046032,1255,1427,0,782,1767.5,69
14,2011,1,54,13.5,30,4,4,1.25125,20,0,0,37,37,11
14,2011,2,11,2.2,4,1,5,1.63,54,0,0,28.333334,28.333334,32
14,2011,3,32,4,17,1,8,1.435,11,20,0,32.333332,29.25,55
14,2011,4,55,7.857143,25,1,7,1.0171429,32,54,0,32.666668,34.4,605
14,2011,5,605,50.416668,300,1,12,0.9533333,55,11,0,230.66667,129.5,470
14,2011,6,470,33.57143,254,1,14,1.2564286,605,32,0,376.66666,204.5,241
14,2011,7,241,26.777779,105,1,9,1.3122222,470,55,0,438.66666,235.66667,152
14,2011,8,152,15.2,82,1,10,1.11,241,605,0,287.66666,259.16666,61
14,2011,9,61,7.625,48,1,8,1.045,152,470,0,151.33333,264,134
14,2011,10,134,22.333334,52,1,6,1.4083333,61,241,0,115.666664,277.16666,209
14,2011,11,209,16.076923,84,1,13,1.28,134,152,0,134.66667,211.16667,47
15,2011,1,20,6.6666665,18,1,3,2.95,6,0,0,13,13,13
15,2011,2,13,3.25,7,1,4,3.66,20,0,0,13,13,95
15,2011,3,95,9.5,50,1,10,3.478,13,6,0,42.666668,33.5,42
15,2011,4,42,5.25,8,2,8,3.4233334,95,20,0,50,35.2,73
15,2011,5,73,5.6153846,18,1,13,3.787436,42,13,0,70,41.5,63
15,2011,6,63,4.5,9,1,14,3.4571428,73,95,0,59.333332,51,53
15,2011,7,53,7.571429,14,1,7,3.7614286,63,42,0,63,56.5,27
15,2011,8,27,4.5,7,1,6,4.133333,53,73,0,47.666668,58.833332,32
15,2011,9,32,6.4,18,1,5,4.086,27,63,0,37.333332,48.333332,3
15,2011,10,3,3,3,3,1,2.95,32,53,0,20.666666,41.833332,34
15,2011,11,34,4.25,18,1,8,3.66,3,27,0,23,35.333332,3
17,2011,1,7,3.5,5,2,2,5.79,10,0,0,8.5,8.5,8
17,2011,2,8,4,6,2,2,2.95,7,0,0,8.333333,8.333333,82
17,2011,3,82,11.714286,51,1,7,3.9357142,8,10,0,32.333332,26.75,16
17,2011,4,16,2.6666667,7,1,6,4.37,82,7,0,35.333332,24.6,35
17,2011,5,35,3.8888888,9,1,9,3.6862962,16,8,0,44.333332,26.333334,44
17,2011,6,44,3.6666667,8,1,12,3.66,35,82,0,31.666666,32,40
17,2011,7,40,5.714286,14,1,7,4.167143,44,16,0,39.666668,37.5,16
17,2011,8,16,3.2,6,1,5,4.086,40,35,0,33.333332,38.833332,31
17,2011,9,31,5.1666665,12,1,6,3.4233334,16,44,0,29,30.333334,6
17,2011,10,6,2,4,1,3,3.8966668,31,40,0,17.666666,28.666666,17
17,2011,11,17,2.8333333,6,1,6,2.95,6,16,0,18,25.666666,2
18,2011,1,33,8.25,18,2,4,3.305,1,0,0,17,17,8
18,2011,2,8,4,6,2,2,4.37,33,0,0,14,14,133
18,2011,3,133,16.625,51,1,8,3.23,8,1,0,58,43.75,28
18,2011,4,28,3.1111112,7,1,9,3.1077778,133,33,0,56.333332,40.6,68
18,2011,5,68,6.8,21,1,10,3.1866667,28,8,0,76.333336,45.166668,35
18,2011,6,35,3.8888888,12,1,9,3.2655556,68,133,0,43.666668,50.833332,109
18,2011,7,109,13.625,70,1,8,2.9,35,28,0,70.666664,63.5,25
18,2011,8,25,6.25,18,1,4,4.37,109,68,0,56.333332,66.333336,101
